1|Niger|     7.68
2|Uganda|     6.73
3|Mali|     6.54
4|Somalia|     6.44
5|Burundi|     6.25
6|Burkina Faso|     6.21
7|Congo, Democratic Republic of the|     6.11
8|Ethiopia|     6.07
9|Zambia|     6.07
10|Angola|     6.05
11|Congo, Republic of the|     5.77
12|Malawi|     5.51
13|Afghanistan|     5.50
14|Benin|     5.40
15|Mayotte|     5.40
16|Liberia|     5.24
17|Sao Tome and Principe|     5.21
18|Chad|     5.18
19|Guinea|     5.15
20|Mozambique|     5.13
21|Madagascar|     5.09
22|Equatorial Guinea|     5.00
23|Rwanda|     4.99
24|Sierra Leone|     4.97
25|Gambia, The|     4.96
26|Sudan|     4.93
27|Gaza Strip|     4.90
28|Senegal|     4.86
29|Nigeria|     4.82
30|Yemen|     4.81
31|Comoros|     4.78
32|Togo|     4.74
33|Central African Republic|     4.68
34|Gabon|     4.62
35|Eritrea|     4.60
36|Guinea-Bissau|     4.58
37|Kenya|     4.38
38|Mauritania|     4.37
39|Western Sahara|     4.37
40|Tanzania|     4.31
41|Cameroon|     4.25
42|Cote dIvoire|     4.01
43|Iraq|     3.76
44|Solomon Islands|     3.67
45|Zimbabwe|     3.66
46|Ghana|     3.57
47|Papua New Guinea|     3.54
48|Marshall Islands|     3.51
49|Jordan|     3.42
50|Guatemala|     3.36
51|Samoa|     3.32
52|Belize|     3.28
53|Pakistan|     3.28
54|Philippines|     3.23
55|American Samoa|     3.22
56|Laos|     3.22
57|Timor-Leste|     3.20
58|Swaziland|     3.19
59|Honduras|     3.17
60|Tuvalu|     3.14
61|Nauru|     3.13
62|West Bank|     3.12
63|Bolivia|     3.07
64|Haiti|     3.07
65|Syria|     3.02
66|Egypt|     3.01
67|Libya|     3.01
68|Lesotho|     3.00
69|Tajikistan|     2.94
70|Turks and Caicos Islands|     2.92
71|Cambodia|     2.90
72|Oman|     2.87
73|Kiribati|     2.86
74|Micronesia, Federated States of|     2.80
75|Djibouti|     2.79
76|Israel|     2.72
77|Kuwait|     2.70
78|Malaysia|     2.70
79|Bangladesh|     2.65
80|Fiji|     2.65
81|India|     2.65
82|Kyrgyzstan|     2.64
83|Namibia|     2.57
84|World|     2.56
85|Botswana|     2.54
86|Cape Verde|     2.54
87|Nepal|     2.53
88|Nicaragua|     2.51
89|Panama|     2.48
90|Bahrain|     2.47
91|Dominican Republic|     2.47
92|Ecuador|     2.46
93|Venezuela|     2.45
94|Qatar|     2.44
95|Cook Islands|     2.43
96|Vanuatu|     2.43
97|Faroe Islands|     2.43
98|United Arab Emirates|     2.41
99|Guyana|     2.40
100|Saudi Arabia|     2.35
101|Argentina|     2.33
102|South Africa|     2.33
103|Peru|     2.32
104|Mexico|     2.31
105|Bhutan|     2.29
106|Burma|     2.28
107|Indonesia|     2.28
108|Morocco|     2.23
109|Mongolia|     2.22
110|Grenada|     2.21
111|Jamaica|     2.21
112|Brazil|     2.19
113|Turkmenistan|     2.19
114|Colombia|     2.18
115|Turkey|     2.18
116|Northern Mariana Islands|     2.18
117|Greenland|     2.16
118|Paraguay|     2.16
119|El Salvador|     2.12
120|Curacao|     2.10
121|New Caledonia|     2.09
122|New Zealand|     2.09
123|Dominica|     2.08
124|Antigua and Barbuda|     2.06
125|United States|     2.06
126|Azerbaijan|     2.03
127|Ireland|     2.03
128|Bahamas, The|     2.00
129|Tonga|     2.00
130|Bermuda|     1.98
131|France|     1.97
132|Netherlands Antilles|     1.97
133|Suriname|     1.97
134|Isle of Man|     1.97
135|Gibraltar|     1.96
136|Sri Lanka|     1.96
137|Korea, North|     1.94
138|Saint Vincent and the Grenadines|     1.94
139|Costa Rica|     1.93
140|Vietnam|     1.93
141|Seychelles|     1.92
142|Uzbekistan|     1.92
143|United Kingdom|     1.92
144|Chile|     1.90
145|Iceland|     1.90
146|French Polynesia|     1.89
147|Uruguay|     1.89
148|Iran|     1.89
149|Brunei|     1.88
150|Cayman Islands|     1.88
151|Kazakhstan|     1.87
152|Aruba|     1.85
153|Wallis and Futuna|     1.84
154|Maldives|     1.83
155|Saint Lucia|     1.82
156|Virgin Islands|     1.81
157|Mauritius|     1.80
158|Saint Kitts and Nevis|     1.79
159|Australia|     1.78
160|Luxembourg|     1.78
161|Lebanon|     1.78
162|Norway|     1.77
163|Algeria|     1.76
164|Anguilla|     1.75
165|Denmark|     1.74
166|Finland|     1.73
167|Palau|     1.73
168|Trinidad and Tobago|     1.72
169|British Virgin Islands|     1.71
170|Tunisia|     1.71
171|Sint Maarten|     1.70
172|Barbados|     1.68
173|Sweden|     1.67
174|Jersey|     1.66
175|Netherlands|     1.66
176|Belgium|     1.65
177|Thailand|     1.65
178|Puerto Rico|     1.62
179|Cuba|     1.61
180|Canada|     1.58
181|Macedonia|     1.58
182|Saint Helena, Ascension, and Tristan da Cunha|     1.56
183|China|     1.54
184|Saint Pierre and Miquelon|     1.54
185|Guernsey|     1.53
186|Liechtenstein|     1.53
187|Malta|     1.52
188|Monaco|     1.50
189|Portugal|     1.50
190|Albania|     1.47
191|Spain|     1.47
192|San Marino|     1.46
193|Switzerland|     1.46
194|Cyprus|     1.45
195|Georgia|     1.44
196|Croatia|     1.43
197|Estonia|     1.43
198|Germany|     1.42
199|Bulgaria|     1.41
200|Russia|     1.41
201|Austria|     1.39
202|Serbia|     1.39
203|Hungary|     1.39
204|Greece|     1.37
205|Armenia|     1.36
206|Slovakia|     1.36
207|Andorra|     1.34
208|Italy|     1.32
209|Latvia|     1.31
210|Poland|     1.29
211|Slovenia|     1.29
212|Moldova|     1.28
213|Romania|     1.27
214|Ukraine|     1.27
215|Bosnia and Herzegovina|     1.26
216|Belarus|     1.25
217|Czech Republic|     1.25
218|Montserrat|     1.25
219|Lithuania|     1.24
220|Korea, South|     1.22
221|Japan|     1.20
222|Taiwan|     1.15
223|Singapore|     1.10
224|Hong Kong|     1.04
225|Macau|     0.91
