1|Russia|179100000000
2|Norway|98850000000
3|Canada|94670000000
4|Algeria|59670000000
5|Qatar|56780000000
6|Netherlands|55590000000
7|Indonesia|33500000000
8|Malaysia|31030000000
9|United States|30350000000
10|Australia|22300000000
11|Nigeria|20550000000
12|Kazakhstan|17660000000
13|Trinidad and Tobago|17360000000
14|Uzbekistan|15000000000
15|Turkmenistan|14000000000
16|Germany|12640000000
17|United Kingdom|12170000000
18|Bolivia|11790000000
19|Oman|10890000000
20|Libya|10400000000
21|Brunei|9200000000
22|Burma|8550000000
23|Egypt|8550000000
24|United Arab Emirates|7567000000
25|Azerbaijan|5564000000
26|Equatorial Guinea|5170000000
27|Ukraine|5000000000
28|Iran|4246000000
29|Denmark|3980000000
30|Austria|3961000000
31|China|3320000000
32|Mozambique|3200000000
33|France|1931000000
34|Czech Republic|1111000000
35|Spain|975000000
36|Colombia|900000000
37|Argentina|890000000
38|Turkey|708000000
39|Croatia|695500000
40|Mexico|688000000
41|Italy|124000000
42|Hungary|85000000
43|Poland|40000000
44|Slovakia|15000000
45|Yemen|         454700
46|Afghanistan|              0
47|American Samoa|              0
48|Bahrain|              0
49|Barbados|              0
50|British Virgin Islands|              0
51|Botswana|              0
52|Bosnia and Herzegovina|              0
53|Bhutan|              0
54|Bermuda|              0
55|Benin|              0
56|Belize|              0
57|Belgium|              0
58|Belarus|              0
59|Ethiopia|              0
60|Estonia|              0
61|Eritrea|              0
62|El Salvador|              0
63|Ecuador|              0
64|Dominican Republic|              0
65|Dominica|              0
66|Djibouti|              0
67|Cuba|              0
68|Guyana|              0
69|Guinea-Bissau|              0
70|Guinea|              0
71|Guatemala|              0
72|Grenada|              0
73|Greenland|              0
74|Greece|              0
75|Gibraltar|              0
76|Ghana|              0
77|Kyrgyzstan|              0
78|Kuwait|              0
79|Korea, South|              0
80|Korea, North|              0
81|Kiribati|              0
82|Kenya|              0
83|Jordan|              0
84|Japan|              0
85|Jamaica|              0
86|New Caledonia|              0
87|Netherlands Antilles|              0
88|Nepal|              0
89|Nauru|              0
90|Namibia|              0
91|Morocco|              0
92|Montserrat|              0
93|Mongolia|              0
94|Moldova|              0
95|Taiwan|              0
96|Zimbabwe|              0
97|Zambia|              0
98|Western Sahara|              0
99|West Bank|              0
100|Virgin Islands|              0
101|Vietnam|              0
102|Venezuela|              0
103|Vanuatu|              0
104|Uruguay|              0
105|Uganda|              0
106|Turks and Caicos Islands|              0
107|Tunisia|              0
108|Tonga|              0
109|Togo|              0
110|Timor-Leste|              0
111|Thailand|              0
112|Tanzania|              0
113|Tajikistan|              0
114|Syria|              0
115|Switzerland|              0
116|Sweden|              0
117|Swaziland|              0
118|Suriname|              0
119|Sudan|              0
120|Sri Lanka|              0
121|South Africa|              0
122|Somalia|              0
123|Solomon Islands|              0
124|Slovenia|              0
125|Singapore|              0
126|Sierra Leone|              0
127|Seychelles|              0
128|Serbia|              0
129|Senegal|              0
130|Saudi Arabia|              0
131|Sao Tome and Principe|              0
132|Samoa|              0
133|Saint Vincent and the Grenadines|              0
134|Saint Pierre and Miquelon|              0
135|Saint Lucia|              0
136|Saint Kitts and Nevis|              0
137|Saint Helena, Ascension, and Tristan da Cunha|              0
138|Rwanda|              0
139|Romania|              0
140|Puerto Rico|              0
141|Portugal|              0
142|Philippines|              0
143|Paraguay|              0
144|Papua New Guinea|              0
145|Panama|              0
146|Pakistan|              0
147|Niue|              0
148|Niger|              0
149|Nicaragua|              0
150|New Zealand|              0
151|Mauritius|              0
152|Mauritania|              0
153|Malta|              0
154|Mali|              0
155|Maldives|              0
156|Malawi|              0
157|Madagascar|              0
158|Macedonia|              0
159|Macau|              0
160|Luxembourg|              0
161|Lithuania|              0
162|Liberia|              0
163|Lesotho|              0
164|Lebanon|              0
165|Latvia|              0
166|Laos|              0
167|Israel|              0
168|Ireland|              0
169|Iraq|              0
170|India|              0
171|Iceland|              0
172|Hong Kong|              0
173|Honduras|              0
174|Haiti|              0
175|Georgia|              0
176|Gambia, The|              0
177|Gabon|              0
178|French Polynesia|              0
179|Finland|              0
180|Fiji|              0
181|Faroe Islands|              0
182|Falkland Islands (Islas Malvinas)|              0
183|Cote dIvoire|              0
184|Costa Rica|              0
185|Cook Islands|              0
186|Congo, Republic of the|              0
187|Congo, Democratic Republic of the|              0
188|Comoros|              0
189|Chile|              0
190|Chad|              0
191|Cyprus|              0
192|Central African Republic|              0
193|Cayman Islands|              0
194|Cape Verde|              0
195|Cameroon|              0
196|Cambodia|              0
197|Burundi|              0
198|Burkina Faso|              0
199|Bulgaria|              0
200|Bangladesh|              0
201|Bahamas, The|              0
202|Armenia|              0
203|Aruba|              0
204|Antigua and Barbuda|              0
205|Angola|              0
206|Albania|              0
