1|Monaco|    89.78
2|Macau|    84.38
3|San Marino|    82.95
4|Andorra|    82.36
5|Japan|    82.17
6|Guernsey|    82.08
7|Singapore|    82.06
8|Hong Kong|    81.96
9|Australia|    81.72
10|Canada|    81.29
11|Jersey|    81.28
12|France|    81.09
13|Spain|    81.07
14|Sweden|    80.97
15|Switzerland|    80.97
16|Israel|    80.86
17|Iceland|    80.79
18|Anguilla|    80.77
19|Bermuda|    80.60
20|Cayman Islands|    80.57
21|Isle of Man|    80.53
22|New Zealand|    80.48
23|Italy|    80.33
24|Liechtenstein|    80.19
25|Norway|    80.08
26|Ireland|    80.07
27|Jordan|    79.92
28|United Kingdom|    79.92
29|Greece|    79.80
30|Saint Pierre and Miquelon|    79.74
31|Austria|    79.65
32|Malta|    79.59
33|Faroe Islands|    79.58
34|Netherlands|    79.55
35|Luxembourg|    79.48
36|Germany|    79.41
37|Belgium|    79.37
38|Virgin Islands|    79.19
39|Finland|    79.13
40|Wallis and Futuna|    78.83
41|European Union|    78.82
42|Korea, South|    78.81
43|Puerto Rico|    78.77
44|Bosnia and Herzegovina|    78.66
45|Saint Helena, Ascension, and Tristan da Cunha|    78.60
46|Gibraltar|    78.53
47|Denmark|    78.47
48|Portugal|    78.38
49|United States|    78.24
50|Taiwan|    78.15
51|Kuwait|    77.89
52|Cyprus|    77.66
53|Cuba|    77.64
54|Panama|    77.61
55|Costa Rica|    77.54
56|Chile|    77.53
57|Libya|    77.47
58|British Virgin Islands|    77.45
59|Albania|    77.22
60|Dominican Republic|    77.15
61|Slovenia|    77.12
62|Czech Republic|    77.01
63|Georgia|    76.93
64|French Polynesia|    76.91
65|Northern Mariana Islands|    76.90
66|Netherlands Antilles|    76.86
67|Argentina|    76.76
68|Saint Lucia|    76.65
69|New Caledonia|    76.56
70|Uruguay|    76.55
71|United Arab Emirates|    76.32
72|Mexico|    76.26
73|Paraguay|    75.99
74|Tunisia|    75.99
75|Brunei|    75.96
76|Poland|    75.85
77|Dominica|    75.77
78|Morocco|    75.69
79|Turks and Caicos Islands|    75.64
80|Slovakia|    75.62
81|Croatia|    75.58
82|Ecuador|    75.52
83|Aruba|    75.51
84|Qatar|    75.51
85|Bahrain|    75.40
86|Sri Lanka|    75.30
87|Antigua and Barbuda|    75.26
88|Lithuania|    75.12
89|Thailand|    75.02
90|Macedonia|    74.92
91|Lebanon|    74.79
92|West Bank|    74.78
93|Hungary|    74.57
94|China|    74.51
95|Cook Islands|    74.47
96|Syria|    74.46
97|Saint Kitts and Nevis|    74.37
98|Colombia|    74.31
99|Algeria|    74.26
100|Mauritius|    74.25
101|Maldives|    74.21
102|Barbados|    74.14
103|Serbia|    74.09
104|Suriname|    73.98
105|American Samoa|    73.97
106|Oman|    73.97
107|Solomon Islands|    73.94
108|Saint Vincent and the Grenadines|    73.90
109|Saudi Arabia|    73.87
110|Venezuela|    73.77
111|Romania|    73.74
112|Gaza Strip|    73.68
113|Malaysia|    73.55
114|Jamaica|    73.48
115|Bulgaria|    73.35
116|Seychelles|    73.28
117|El Salvador|    73.18
118|Estonia|    73.08
119|Armenia|    72.96
120|Montserrat|    72.91
121|Grenada|    72.79
122|Latvia|    72.42
123|Egypt|    72.40
124|Brazil|    72.26
125|Uzbekistan|    72.24
126|Turkey|    72.23
127|Samoa|    72.13
128|Vietnam|    71.94
129|Nicaragua|    71.78
130|Palau|    71.51
131|Marshall Islands|    71.48
132|Philippines|    71.38
133|Micronesia, Federated States of|    71.23
134|Moldova|    71.09
135|Trinidad and Tobago|    71.09
136|Indonesia|    71.05
137|Fiji|    71.03
138|Tonga|    71.03
139|Peru|    71.03
140|Belarus|    70.92
141|Bahamas, The|    70.84
142|Greenland|    70.67
143|Guatemala|    70.59
144|Honduras|    70.51
145|Cape Verde|    70.41
146|Iraq|    70.25
147|Iran|    69.77
148|Kyrgyzstan|    69.74
149|Bangladesh|    69.44
150|Ukraine|    68.46
151|Belize|    68.23
152|Turkmenistan|    68.20
153|Kazakhstan|    68.19
154|Mongolia|    67.98
155|Timor-Leste|    67.61
156|Bolivia|    67.23
157|Azerbaijan|    67.01
158|Guyana|    66.74
159|Bhutan|    66.71
160|India|    66.46
161|Russia|    66.16
162|World|    66.12
163|Papua New Guinea|    65.99
164|Nepal|    65.81
165|Tajikistan|    65.68
166|Pakistan|    65.63
167|Nauru|    64.99
168|Burma|    64.52
169|Tuvalu|    64.39
170|Vanuatu|    64.33
171|Korea, North|    64.13
172|Kiribati|    64.03
173|Comoros|    63.83
174|Yemen|    63.36
175|Mayotte|    63.28
176|Madagascar|    63.26
177|Sao Tome and Principe|    62.73
178|Cambodia|    62.28
179|Togo|    62.25
180|Haiti|    62.17
181|Eritrea|    62.15
182|Laos|    62.00
183|Equatorial Guinea|    61.98
184|Botswana|    60.93
185|Mauritania|    60.75
186|Western Sahara|    60.74
187|Djibouti|    60.73
188|Ghana|    60.55
189|Benin|    59.42
190|Senegal|    59.38
191|Kenya|    58.82
192|Burundi|    58.29
193|Guinea|    57.60
194|Rwanda|    57.46
195|Liberia|    56.58
196|Cote dIvoire|    56.19
197|Ethiopia|    55.80
198|Sierra Leone|    55.69
199|Congo, Democratic Republic of the|    54.73
200|Congo, Republic of the|    54.54
201|Sudan|    54.21
202|Gambia, The|    54.07
203|Cameroon|    54.04
204|Burkina Faso|    53.32
205|Niger|    52.99
206|Uganda|    52.98
207|Gabon|    52.75
208|Tanzania|    52.49
209|Mali|    52.17
210|Zambia|    52.03
211|Namibia|    51.95
212|Malawi|    50.92
213|Lesotho|    50.67
214|Somalia|    50.00
215|Central African Republic|    49.68
216|South Africa|    49.20
217|Guinea-Bissau|    48.30
218|Chad|    47.99
219|Swaziland|    47.97
220|Zimbabwe|    47.55
221|Nigeria|    47.24
222|Afghanistan|    44.65
223|Mozambique|    41.37
224|Angola|    38.48
