1|Zimbabwe|   241.60
2|Japan|   196.40
3|Saint Kitts and Nevis|   185.00
4|Lebanon|   150.70
5|Greece|   144.00
6|Iceland|   123.80
7|Jamaica|   123.20
8|Italy|   118.10
9|Belgium|   102.50
10|Singapore|   102.40
11|Ireland|    98.50
12|Sudan|    94.20
13|Sri Lanka|    86.70
14|France|    83.50
15|Portugal|    83.20
16|Canada|    82.90
17|Egypt|    80.50
18|Dominica|    78.00
19|Nicaragua|    78.00
20|Israel|    77.30
21|United Kingdom|    76.50
22|Germany|    74.80
23|Malta|    72.60
24|Hungary|    72.10
25|Austria|    68.60
26|Netherlands|    64.60
27|Spain|    63.40
28|Cote dIvoire|    63.30
29|Jordan|    61.40
30|Cyprus|    61.10
31|Brazil|    60.80
32|Mauritius|    60.50
33|Ghana|    59.90
34|Albania|    59.30
35|Bahrain|    59.20
36|United States|    58.90
37|Seychelles|    58.80
38|World|    58.30
39|Morocco|    58.20
40|Bhutan|    57.80
41|Guyana|    57.00
42|India|    55.90
43|Philippines|    55.20
44|Croatia|    55.00
45|El Salvador|    55.00
46|Vietnam|    53.50
47|Uruguay|    52.70
48|Malaysia|    52.60
49|Kenya|    50.90
50|Poland|    50.50
51|Argentina|    50.30
52|Pakistan|    49.90
53|Tunisia|    49.50
54|Turkey|    48.10
55|Norway|    47.70
56|Denmark|    46.60
57|Aruba|    46.30
58|Latvia|    46.20
59|Finland|    45.40
60|Colombia|    44.80
61|United Arab Emirates|    44.60
62|Costa Rica|    44.10
63|Thailand|    42.30
64|Dominican Republic|    41.70
65|Mexico|    41.50
66|Slovakia|    41.00
67|Mozambique|    40.80
68|Sweden|    40.80
69|Panama|    40.80
70|Malawi|    40.40
71|Bolivia|    40.30
72|Czech Republic|    40.00
73|Switzerland|    39.60
74|Bangladesh|    39.30
75|Ethiopia|    39.30
76|Yemen|    39.10
77|Bosnia and Herzegovina|    39.00
78|Ukraine|    38.40
79|Montenegro|    38.00
80|Serbia|    37.80
81|Lithuania|    36.70
82|Slovenia|    35.50
83|Romania|    34.80
84|Cuba|    34.40
85|South Africa|    33.20
86|Senegal|    32.10
87|Taiwan|    31.40
88|Syria|    29.80
89|Guatemala|    29.60
90|Papua New Guinea|    27.80
91|Indonesia|    26.40
92|Trinidad and Tobago|    26.40
93|Honduras|    26.10
94|Gabon|    25.80
95|Algeria|    25.70
96|Macedonia|    25.70
97|New Zealand|    25.50
98|Venezuela|    25.50
99|Moldova|    25.00
100|Zambia|    24.10
101|Korea South|    23.70
102|Peru|    23.60
103|Tanzania|    23.30
104|Ecuador|    23.10
105|Paraguay|    22.80
106|Botswana|    22.60
107|Australia|    22.40
108|Uganda|    20.40
109|Angola|    20.30
110|Namibia|    20.00
111|Hong Kong|    18.20
112|China|    17.50
113|Cameroon|    16.80
114|Saudi Arabia|    16.70
115|Bulgaria|    16.20
116|Luxembourg|    16.20
117|Iran|    16.20
118|Kazakhstan|    15.90
119|Gibraltar|    15.50
120|Nigeria|    13.40
121|Kuwait|    12.60
122|Qatar|    10.30
123|Russia|     9.50
124|Uzbekistan|     9.00
125|Estonia|     7.70
126|Chile|     6.20
127|Wallis and Futuna|     5.60
128|Azerbaijan|     4.60
129|Oman|     4.40
130|Equatorial Guinea|     4.10
131|Libya|     3.30
